"act_section_id","act_name","act_description","section_name","section_description"
1,"Code of Civil Procedure 1908",NULL,"1",NULL
1649,"Code of Civil Procedure 1908",NULL,NULL,NULL
1679,"Code of Civil Procedure 1908",NULL,NULL,NULL
1838,"Trade & Trade Merchandise Marks Act",NULL,NULL,NULL
1855,"Code of Civil Procedure 1908",NULL,NULL,NULL
1995,"Code of Civil Procedure 1908",NULL,NULL,NULL
2071,"Code of Civil Procedure 1908",NULL,NULL,NULL
2201,"Code of Civil Procedure 1908",NULL,NULL,NULL
2217,"Code of Civil Procedure 1908",NULL,NULL,NULL
2235,"Trade & Trade Merchandise Marks Act",NULL,NULL,NULL
2384,"Code of Civil Procedure 1908",NULL,NULL,NULL
2432,"Copy Right Act",NULL,NULL,NULL
2458,"Code of Civil Procedure 1908",NULL,NULL,NULL
2480,"Code of Civil Procedure 1908",NULL,NULL,NULL
2585,"Code of Civil Procedure 1908",NULL,NULL,NULL
2593,"Trade & Trade Merchandise Marks Act",NULL,NULL,NULL
2612,"Code of Civil Procedure 1908",NULL,NULL,NULL
2619,"Code of Civil Procedure 1908",NULL,NULL,NULL
2729,"Code of Civil Procedure 1908",NULL,NULL,NULL
2761,"Code of Civil Procedure 1908",NULL,NULL,NULL
2763,"Code of Civil Procedure 1908",NULL,NULL,NULL
2798,"Code of Civil Procedure 1908",NULL,NULL,NULL
2809,"Code of Civil Procedure 1908",NULL,NULL,NULL
2834,"Code of Civil Procedure 1908",NULL,NULL,NULL
2911,"Trade & Trade Merchandise Marks Act",NULL,NULL,NULL
4764,NULL,NULL,NULL,NULL
4819,"Code of Civil Procedure 1908",NULL,NULL,NULL
4922,"Code of Civil Procedure 1908",NULL,NULL,NULL
5001,"Code of Civil Procedure 1908",NULL,NULL,NULL
5014,"Code of Civil Procedure 1908",NULL,NULL,NULL
5162,"Code of Civil Procedure 1908",NULL,NULL,NULL
5370,"Code of Civil Procedure 1908",NULL,NULL,NULL
5580,"Code of Civil Procedure 1908",NULL,NULL,NULL
5616,"Code of Civil Procedure 1908",NULL,NULL,NULL
5674,"Code of Civil Procedure 1908",NULL,NULL,NULL
5946,"Code of Civil Procedure 1908",NULL,NULL,NULL
6133,"Code of Civil Procedure 1908",NULL,NULL,NULL
6139,"Code of Civil Procedure 1908",NULL,NULL,NULL
6185,"Code of Civil Procedure 1908",NULL,NULL,NULL
6193,"Code of Civil Procedure 1908",NULL,NULL,NULL
6194,"Code of Civil Procedure 1908",NULL,NULL,NULL
6197,"Code of Civil Procedure 1908",NULL,NULL,NULL
6230,"Code of Civil Procedure 1908",NULL,NULL,NULL
6274,"Code of Civil Procedure 1908",NULL,NULL,NULL
6345,"Code of Civil Procedure 1908",NULL,NULL,NULL
6363,"Code of Civil Procedure 1908",NULL,NULL,NULL
6379,"Code of Civil Procedure 1908",NULL,NULL,NULL
6384,"Code of Civil Procedure 1908",NULL,NULL,NULL
6467,"Code of Civil Procedure 1908",NULL,NULL,NULL
6473,"Code of Civil Procedure 1908",NULL,NULL,NULL
6506,"Code of Civil Procedure 1908",NULL,NULL,NULL
6561,"Code of Civil Procedure 1908",NULL,NULL,NULL
6574,"Code of Civil Procedure 1908",NULL,NULL,NULL
6753,"Code of Civil Procedure 1908",NULL,NULL,NULL
6776,"Indian Succession Act",NULL,"1",NULL
6806,"Code of Civil Procedure 1908",NULL,"2",NULL
6836,"Code of Civil Procedure 1908",NULL,NULL,NULL
6894,"Code of Civil Procedure 1908",NULL,NULL,NULL
6913,"Code of Civil Procedure 1908",NULL,NULL,NULL
6997,"Code of Civil Procedure 1908",NULL,NULL,NULL
7033,"Code of Civil Procedure 1908",NULL,NULL,NULL
7053,"Code of Civil Procedure 1908",NULL,"ORDER,37",NULL
7087,"Code of Civil Procedure 1908",NULL,NULL,NULL
7107,"Code of Civil Procedure 1908",NULL,NULL,NULL
7146,NULL,NULL,NULL,NULL
7208,"Code of Civil Procedure 1908",NULL,"O.40",NULL
7450,"Specific Relief Act",NULL,"38,39",NULL
7463,"",NULL,"ORDER,40,RULE,1",NULL
