"judge_id","judge_name","judge_designation","court_id"
1,"HON'BLE SHRI JUSTICE R. I. CHAGLA","High Court Justice",1
2,"HON'BLE SHRI JUSTICE ABHAY AHUJA","High Court Justice",1
3,"HON'BLE SHRI JUSTICE MANISH PITALE","High Court Justice",1
4,"HON'BLE SHRI JUSTICE A. K. MENON","High Court Justice",1
5,"HON'BLE SHRI JUSTICE S. M. MODAK","High Court Justice",1
7,"REGISTRAR(OS)/PROTHONOTARY & SR. MASTER","High Court Justice",1
8,"HON'BLE SHRI JUSTICE G. S. KULKARNI","High Court Justice",1
9,"HON'BLE SHRI JUSTICE G.S. PATEL","High Court Justice",1
10,"HON'BLE SHRI JUSTICE N. J. JAMADAR","High Court Justice",1
11,"HON'BLE JUSTICE SHRI ARIF S. DOCTOR","High Court Justice",1
12,"HON'BLE SHRI JUSTICE S.J. KATHAWALLA","High Court Justice",1
13,"HON'BLE SHRI JUSTICE B.P. COLABAWALLA","High Court Justice",1
14,"HON'BLE SHRI JUSTICE S.C. GUPTE","High Court Justice",1
15,"D.V. SAWANT, PROTHO. & SENIOR MASTER","High Court Justice",1
17,"HON'BLE SHRI JUSTICE K.R. SHRIRAM","High Court Justice",1
18,"ANIRUDDHA M. CHANDEKAR, PROTHO. & SENIOR MASTER","High Court Justice",1
19,"","High Court Justice",1
20,"HON'BLE SMT. JUSTICE BHARATI DANGRE","High Court Justice",1
21,"HON'BLE SHRI JUSTICE K.K. TATED","High Court Justice",1
27,"SHRI. M.W. CHANDWANI, PROTHO. AND SENIOR MASTER","High Court Justice",1
28,"D.R. TALEKAR, FIRST ASSISTANT MASTER","High Court Justice",1
58,"HON'BLE SHRI JUSTICE G.S. PATEL HON'BLE SHRI JUSTICE MADHAV J. JAMDAR","High Court Justice",1
62,"I/C REGISTRAR(OS)/PROTHONOTARY AND SR. MASTER","High Court Justice",1
